customer_hobby,customer,h1,analyse,CustomerMerchant,creately
customer_score,customer,h1,analyse,CustomerMerchant,creately
customer,customer_system,k,analyse,CustomerMerchant,creately
customer_system,administrator,k,analyse,CustomerMerchant,creately
merchant_interface,administrator,k,analyse,CustomerMerchant,creately
merchant,merchant_interface,k,analyse,CustomerMerchant,creately
commodity,merchant,s1,analyse,CustomerMerchant,creately
customer,merchant,k,analyse,CustomerMerchant,creately
customer,order,k,analyse,FlightReservationSystem,creately
order,passenger,k,analyse,FlightReservationSystem,creately
order_flight,order,h1,analyse,FlightReservationSystem,creately
schedule_flight,order_flight,k,analyse,FlightReservationSystem,creately
schedule,schedule_flight,k,analyse,FlightReservationSystem,creately
flight,airport,k,analyse,FlightReservationSystem,creately
schedule_flight,flight,h1,analyse,FlightReservationSystem,creately
doctor,department,s1,analyse,HospitalManagement,creately
patient,doctor,k,analyse,HospitalManagement,creately
patient,room,k,analyse,HospitalManagement,creately
patient,receptionist,k,analyse,HospitalManagement,creately
patient,bill,k,analyse,HospitalManagement,creately
receptionist,bill,k,analyse,HospitalManagement,creately
librarian,book,k,analyse,LibraryManagement,creately
reference_book,book,h1,analyse,LibraryManagement,creately
general_book,book,h1,analyse,LibraryManagement,creately
book,user,k,analyse,LibraryManagement,creately
user,librarian,k,analyse,LibraryManagement,creately
student,user,h1,analyse,LibraryManagement,creately
faculty,user,h1,analyse,LibraryManagement,creately
librarian,publisher,k,analyse,LibraryManagement,creately
administrator,account,h1,analyse,monika,creately
web_user,account,h1,analyse,monika,creately
customer,order,k,analyse,monika,creately
product,order,s1,analyse,monika,creately
administrator,order,k,analyse,monika,creately
payment,order,k,analyse,monika,creately
web_user,payment,k,analyse,monika,creately
account,order,k,analyse,monika,creately
ticket,customer,k,analyse,OnlineBusReservation,creately
refund,customer,k,analyse,OnlineBusReservation,creately
booking_counter,customer,k,analyse,OnlineBusReservation,creately
agent,customer,k,analyse,OnlineBusReservation,creately
agent,ticket,k,analyse,OnlineBusReservation,creately
agent,reservation_function,h1,analyse,OnlineBusReservation,creately
booking_counter,ticket,k,analyse,OnlineBusReservation,creately
address,person,s1,analyse,SeminarClassDiagram,creately
student,person,h1,analyse,SeminarClassDiagram,creately
professor,person,h1,analyse,SeminarClassDiagram,creately
student,seminar,s1,analyse,SeminarClassDiagram,creately
student,seminar_enrollment,k,analyse,SeminarClassDiagram,creately
seminar_enrollment,seminar,k,analyse,SeminarClassDiagram,creately
professor,seminar,s1,analyse,SeminarClassDiagram,creately
seminar,course,k,analyse,SeminarClassDiagram,creately
administrator,customer,k,analyse,SGC,creately
cart,customer,k,analyse,SGC,creately
cart,order,k,analyse,SGC,creately
customer,order,k,analyse,SGC,creately
product,cart,s1,analyse,SGC,creately
seller,administrator,k,analyse,SGC,creately
company,seller,k,analyse,SGC,creately
company,order,k,analyse,SGC,creately
order,credit_card,k,analyse,SGC,creately
seller,product,k,analyse,SGC,creately
administrator,user,h1,analyse,TaskManagement,creately
team_member,user,h1,analyse,TaskManagement,creately
team_leader,team_member,h1,analyse,TaskManagement,creately
task_system,team_member,k,analyse,TaskManagement,creately
task_system,project,k,analyse,TaskManagement,creately
task_system,task,k,analyse,TaskManagement,creately
order,client,k,analyse,OrderClassDiagramTemplate,creately
corporation_client,client,h1,analyse,OrderClassDiagramTemplate,creately
individual_client,client,h1,analyse,OrderClassDiagramTemplate,creately
corporation_client,employee,s1,analyse,OrderClassDiagramTemplate,creately
product,employee,s1,analyse,OrderClassDiagramTemplate,creately
product,inventory,s1,analyse,OrderClassDiagramTemplate,creately
order_information,product,s1,analyse,OrderClassDiagramTemplate,creately
order_information,order,s1,analyse,OrderClassDiagramTemplate,creately
