customer,customer.n.1
marketer,marketer.n.1
selling,selling.n.1
gui,gui.n.1
shopping,shopping.n.1
basket,basket.n.1
item,item.n.3
shelf,shelf.n.1
shopping,shopping.n.2
person,person.n.1
basket,basket.n.1
piece,piece.n.13
square,square.n.7
dice,dice.n.1
goal,goal.n.1
start,start.n.1
turn,turn.n.3
field,field.n.1
player,player.n.1
gameboard,gameboard.n.1
screen,screen.n.3
hotel,hotel.n.1
room,room.n.1
reservation,reservation.n.1
account,account.n.3
booking,booking.n.2
cancellation,cancellation.n.1
system,system.n.1
function,function.n.2
database,database.n.1
data,data.n.1
model,model.n.9
controller,controller.n.3
view,view.n.10
hand,hand.n.6
record,record.n.1
driver,driver.n.1
pedal,pedal.n.2
accelerator,accelerator.n.1
brake,brake.n.1
pedal,pedal.n.1
speedometer,speedometer.n.1
automobile,automobile.n.1
engine,engine.n.1
